formula,year
C0.754Ta1,1950
C1Hf0.9Nb0.1,1950
C0.922V1,1950
C1Hf1,1950
C1Ti1,1950
C1Re2W3,1950
C1Nb0.1Ti0.9,1950
C1V1,1950
C0.3N0.7Nb1,1950
C0.77Nb1,1950
C0.86Nb1,1950
C0.3N0.64Nb1,1950
C0.848Ta1,1950
N0.906Zr1,1950
Cl1N1Ti1,1950
C1Zr1,1950
C1Mo0.75Nb0.25,1950
C0.99Nb1,1950
C0.9Nb1,1950
C1Hf0.9Ta0.1,1950
C1Nb0.1Zr0.9,1950
C1Nb0.4Ta0.6,1950
C1Nb0.5Ta0.5,1950
C1Mo0.6Ta0.4,1950
C3.1W0.2Y1.8,1950
C1Mo0.7Nb0.3,1950
C0.3N0.57Nb1,1950
C0.2N0.7Nb1,1950
C0.3N0.62Nb1,1950
B1C1Mo2,1950
C1Ta0.4Ti0.6,1950
C1Ta0.6W0.4,1950
C3.1Ti0.2Y1.8,1950
As1C1Nb2,1950
C1Mo2,1950
C0.69Mo1,1950
C0.681Mo1,1950
C1In1Zr2,1950
C1Hf2In1,1950
C1Hf0.6Zr0.4,1950
C1Hf0.6Nb0.4,1950
C1Cd1Ti2,1950
C0.48Nb1,1950
Br1N1Ti1,1950
Cr0.01N1Nb0.99,1950
Cr0.03N1Nb0.97,1950
C1Mo0.5Ta0.5,1950
C1Mo0.4Ta0.6,1950
C0.85Nb2S1,1950
C0.9N0.1Nb1,1950
C0.9Nb2S1,1950
C0.026N0.974Nb1,1950
C0.1N0.9Nb1,1950
C0.42Mo1,1950
C0.5N0.36Nb1,1950
C1Mo3Re2,1950
C0.7Hf0.05Mo0.95,1950
C0.75Mo1,1950
C0.82Nb2S1,1950
Tc1,1951
Mo0.1Tc0.9,1951
Tc0.9W0.1,1951
Tc0.9V0.1,1951
Nb0.03Tc0.97,1951
Os10,1951
Tc0.95V0.05,1951
Ti0.91V0.09,1953
Ti0.96V0.04,1953
Ru0.05Ti0.95,1953
Ti0.9V0.1,1953
Ta0.025Ti0.975,1953
Ta0.05Ti0.95,1953
Nb3Os0.7Rh0.3,1954
Al0.95Be0.05Nb3,1954
Al0.95Ga0.05Nb3,1954
Al0.964Nb3Si0.036,1954
Al0.8In0.2Nb3,1954
Al0.72Nb3.28,1954
Al0.8Nb3Zn0.2,1954
Al0.907Ga0.093Nb3,1954
Al0.967Nb3Se0.033,1954
Al0.975Nb3Si0.025,1954
Al0.983Ga0.017Nb3,1954
Al0.985Nb3Si0.015,1954
Al0.98Nb3Se0.02,1954
Al0.94Nb3Se0.06,1954
Al0.952Nb3Se0.048,1954
Al0.956Nb3Si0.044,1954
Ir3V1,1954
C0.6Mo4.8Si3,1954
Al0.9B0.1Nb3,1954
Mo0.69Pt0.31,1954
Mo3Si2,1954
Nb0.39Si1V2.61,1954
Nb1Si2,1954
Al0.967Ga0.033Nb3,1954
Al0.15Nb0.75Si0.1,1954
Ir0.3Nb3Rh0.7,1954
Al0.8B0.2Nb3,1954
Al0.8Be0.2Nb3,1954
Al0.8Ga0.2Nb3,1954
Ir1V1,1954
Ir2.76Nb1Pt0.24,1954
Ir3Nb1,1954
Al0.102Ti0.898,1954
Ga1Ni0.207V2.793,1954
Ga1Re0.072V2.928,1954
Ga1Se8Ta4,1954
B1Nb5Si2,1954
Nb1Rh3,1954
B2Ir1V2,1954
Ga0.05Nb3Sn0.95,1954
Ga1V2.742Zr0.258,1954
Ga1V2.883W0.117,1954
Ga1V4.5,1954
Ga20.5V79.5,1954
Ga1La0.222V2.778,1954
Ga1Mn0.102V2.898,1954
Ga1Mo0.201V2.799,1954
Ga1Nb0.186V2.814,1954
Ga0.32Si0.68V3,1954
Ga0.3Nb0.7,1954
Ga0.3V0.7,1954
Ga0.48Si0.52V3,1954
Ga1Ta0.198V2.802,1954
Ga1Ti0.246V2.754,1954
Ga1V1,1954
Ga1V2.1,1954
Al0.245Nb0.725,1954
Al0.927Ga0.073Nb3,1954
Al0.935Nb3Si0.065,1954
Al0.945Nb3Si0.055,1954
Ga24.8V75.2,1954
Ga26.5V73.5,1954
Ga3Zr1,1954
Ga0.32Nb0.68,1954
Ga0.5Sn0.5V3,1954
Ga0.65Nb3Sn0.35,1954
Ga0.6Nb3Sn0.4,1954
Ga0.6Si0.4V3,1954
Co1Nb4Si1,1954
Cr0.008Cu1Rh1.992S4,1954
Cr0.201Ga1V2.799,1954
Cr0.3Si1V2.7,1954
Ga0.8In0.2V3,1954
Ga0.8Nb3Sn0.2,1954
Ga0.8Nb3Zn0.2,1954
Ga0.8Si0.2V3,1954
Ga0.4Si0.6V3,1954
Ga0.51Nb3Sn0.49,1954
Ga0.54Si0.46V3,1954
Ga0.5Nb3Sn0.5,1954
Ga0.9Nb3Zn0.1,1954
Ga0.9Si0.1V3,1954
Ga0.9Sn0.1V3,1954
Ga1Hf0.261V2.739,1954
Ga0.75Si0.25V3,1954
Ga0.78Sn0.22V3,1954
Ga0.793Sb0.207V3,1954
Ga0.7Sn0.3V3,1954
Ga0.09Nb3Sn0.91,1954
Ga0.13Si0.87V3,1954
Ga0.1Nb3Sn0.9,1954
Ga0.21Si0.79V3,1954
Ga0.21V0.79,1954
